Date,Open,High,Low,Close,Adj Close,Volume
22/11/2019,4.456,4.54,4.456,4.495,3.863111,1400
25/11/2019,4.2985,4.5,4.19,4.5,3.867408,6900
26/11/2019,4.4,4.4335,4.31,4.4335,3.810256,1400
27/11/2019,4.29,4.5,4.29,4.4,3.781465,1800
29/11/2019,4.5,4.5,4.19,4.19,3.600986,800
2/12/2019,4.49,4.49,4.41,4.49,3.858813,5600
3/12/2019,4.15,4.32,4.15,4.16,3.575203,5300
4/12/2019,4.206,4.29,4.206,4.2235,3.629777,1900
5/12/2019,4.15,4.295,4.15,4.295,3.691226,6800
6/12/2019,4.33,4.33,4.12,4.2865,3.716805,8200
9/12/2019,4.28,4.28,4.11,4.28,3.711169,10700
10/12/2019,4.22,4.3,4.14,4.18,3.62446,23900
11/12/2019,4.2775,4.3,4.17,4.17,3.615788,3300
12/12/2019,4.25,4.39,4.15,4.39,3.80655,4900
13/12/2019,4.38,4.38,4.15,4.15,3.598446,8100
16/12/2019,4.36,4.36,4.21,4.35,3.771865,11200
17/12/2019,4.5,4.5,4.37,4.37,3.789207,2000
18/12/2019,4.6,4.625,4.5,4.5,3.90193,9900
19/12/2019,4.73,4.73,4.575,4.63,4.014652,2900
20/12/2019,4.65,4.65,4.52,4.585,3.975633,6700
23/12/2019,4.5675,4.73,4.48,4.65,4.031994,2600
24/12/2019,4.61,4.71,4.605,4.71,4.08402,1400
26/12/2019,4.633,4.633,4.5,4.51,3.910601,2200
27/12/2019,4.52,4.615,4.52,4.52,3.919272,2200
30/12/2019,4.62,4.62,4.52,4.565,3.958291,2500
31/12/2019,4.565,4.565,4.565,4.565,3.958291,0
2/1/2020,4.49,4.49,4.49,4.49,3.893259,500
3/1/2020,4.4755,4.495,4.43,4.495,3.897594,2500
6/1/2020,4.515,4.59,4.41,4.59,3.979968,3700
7/1/2020,4.505,4.59,4.505,4.59,3.979968,1300
8/1/2020,4.62,4.62,4.42,4.51,3.910601,1000
9/1/2020,4.35,4.61,4.35,4.4,3.81522,6100
10/1/2020,4.64,4.64,4.45,4.64,4.023323,9100
13/1/2020,4.47,4.64,4.45,4.55,3.945285,16900
14/1/2020,4.501,4.501,4.41,4.41,3.823891,1900
15/1/2020,4.58,4.63,4.53,4.53,3.927943,17600
16/1/2020,4.59,4.75,4.55,4.68,4.058007,7300
17/1/2020,4.68,4.6805,4.57,4.6805,4.05844,2400
21/1/2020,4.89,4.98,4.85,4.96,4.300793,29700
22/1/2020,5.2,5.33,5.2,5.25,4.552251,25800
